Name,Section,Due Date,Priority,Description,Status
Final copy review - app and landing page,LAUNCH PREP (Week 2-3),2026-04-28,Medium,"Review all user-facing text for typos / outdated content / placeholder text. Landing page / pricing / onboarding / dashboard.",Not started
Draft intro and onboarding email sequence,LAUNCH PREP (Week 2-3),2026-04-28,Medium,"Welcome email / getting started / first module prompt / completion. Needs SMTP configured first.",Not started
Final smoke testing - all user flows,LAUNCH PREP (Week 2-3),2026-04-28,High,"Signup -> discovery -> module assessment -> report -> DIAP -> evidence upload. Test on desktop and mobile. Test all tier access levels.",Not started
Test Pulse Check end-to-end,LAUNCH PREP (Week 2-3),2026-04-28,High,"Full Pulse Check flow: discovery -> modules -> output -> resources. Verify completion and reporting.",Carried from old Asana
Test Deep Dive end-to-end,LAUNCH PREP (Week 2-3),2026-04-28,High,"Full Deep Dive flow: discovery -> modules -> output -> resources. Verify completion and reporting.",Carried from old Asana
Review Deep Dive question content (clarity and tone),CONTENT REVIEW (Week 2-4),2026-05-02,Medium,"Review questions across all modules for clarity / duplication / tone consistency. 850+ questions.",Carried from old Asana
Audit Deep Dive resources - identify gaps,CONTENT REVIEW (Week 2-4),2026-05-02,Medium,"Map questions to resources. Identify missing or weak resource content.",Carried from old Asana
Review Pulse Check question flow and completion time,CONTENT REVIEW (Week 2-4),2026-05-02,Medium,"Verify Pulse Check is achievable in 2-3 hours. Check flow makes sense.",Carried from old Asana
Fix placeholder training videos,CONTENT REVIEW (Week 2-4),2026-05-02,Low,"AccessibilityStatement.tsx notes placeholder videos. Training Hub has placeholder Vimeo IDs. Replace or remove.",Carried from old Asana
Migrate Supabase to Sydney region,INFRASTRUCTURE (Month 2),2026-05-15,High,"Currently Tokyo (ap-northeast-1). 3-5x latency improvement for AU users. Requires data migration.",Not started
Re-enable Authority table RLS in Supabase,INFRASTRUCTURE (Month 2),2026-05-15,High,"RLS DISABLED temporarily on authority tables. Needs non-recursive policies before production.",Not started
Fix cloud sync 409 errors,INFRASTRUCTURE (Month 2),2026-05-15,Medium,"useCloudSync and useOrgPresence disabled in AppLayout.tsx due to 409 sync_metadata errors. Fix and re-enable.",Not started
Fix PWA icon-192.png on Vercel,INFRASTRUCTURE (Month 2),2026-05-15,Low,"PWA icon broken on Vercel. Blocks install prompt on mobile.",Known bug
Fix authority org_type not setting during signup,INFRASTRUCTURE (Month 2),2026-05-15,Medium,"Authority tier selection doesn't set org_type. Current workaround: manual SQL. See bug-authority-org-type-signup.md.",Known bug
Personal outreach to 10-15 warm contacts,SALES ACTIVATION (Weeks 3-4),2026-05-01,High,"Email and LinkedIn. Businesses + council contacts. You do this yourself first.",Not started
Segment existing network by fit,SALES ACTIVATION (Weeks 3-4),2026-05-01,Medium,"Categorise contacts: council / association / business / NDIS provider. Prioritise by warmth and fit.",Carried from old Asana
Call with Josie - present CoM proposal,SALES ACTIVATION (Weeks 3-6),2026-05-15,High,"Present the program. Ask: Would CoM pilot this with DAE cohort?",Not started
Close CoM pilot deal,SALES ACTIVATION (Weeks 3-6),2026-05-29,High,"Agree pricing / send contract / onboard. Target $13K-$23K.",Not started
Announce paid tiers to existing free users,SALES ACTIVATION (Weeks 3-6),2026-05-08,Medium,"Email to current users about Starter and Committed tiers.",Not started
Target 5-10 individual paying customers,SALES ACTIVATION (Weeks 3-6),2026-05-29,Medium,"Warm network only. Free tier as entry. For proof and case study material.",Not started
Create Kickoff Webinar Slide Deck,SALES ACTIVATION (Weeks 3-6),2026-05-15,Medium,"15-20 slides. See prompt-onboarding-assets.md. Need before first program launches.",Not started
Create Council Admin Quick Start Guide (PDF),SALES ACTIVATION (Weeks 3-6),2026-05-15,Medium,"2 pages. Authority Portal guide. See prompt-onboarding-assets.md.",Not started
Recruit 3-4 external testers (Deep Dive),EXTERNAL TESTING (Month 2),2026-05-15,Medium,"Real businesses testing the Deep Dive flow. Capture feedback.",Carried from old Asana
Recruit 3-4 external testers (Pulse Check),EXTERNAL TESTING (Month 2),2026-05-15,Medium,"Real businesses testing the Pulse Check flow. Capture feedback.",Carried from old Asana
Prepare testing briefs for external testers,EXTERNAL TESTING (Month 2),2026-05-10,Medium,"What to test / how to report issues / what feedback you need.",Carried from old Asana
Run external testing and collect feedback,EXTERNAL TESTING (Month 2),2026-05-22,Medium,"Both Deep Dive and Pulse Check. Document pattern-based issues.",Carried from old Asana
Fix issues identified in external testing,EXTERNAL TESTING (Month 2),2026-05-29,Medium,"Critical issues only. Don't scope-creep.",Carried from old Asana
Write VA job brief,NEXT - Once Revenue Starts (Month 2-3),2026-06-15,Medium,"10-15 hrs/week. AU-based. See growth bible for scope.",Not started
Hire VA,NEXT - Once Revenue Starts (Month 2-3),2026-06-30,Medium,"Only after 15-20 personal outreach emails. Know what works first.",Not started
Schedule first monthly webinar,NEXT - Once Revenue Starts (Month 3),2026-07-15,Medium,"Only after first deal closes. You need a story to tell.",Not started
Start broader council outreach,NEXT - Once Revenue Starts (Month 3),2026-07-15,Medium,"Using CoM proof. VA builds prospect lists.",Not started
First association conversation (pick 2),NEXT - Once Revenue Starts (Month 3-4),2026-07-31,Medium,"Tourism body + one other. See sales playbook for templates.",Not started
Publish CoM case study,NEXT - Once Revenue Starts (Month 4-5),2026-09-30,High,"1-page PDF + landing page + LinkedIn series. Most important sales asset.",Not started
Cross-organisation benchmarking,PARKED,,,Deferred. Revisit when 50+ businesses on platform.,Parked
